Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-22,18:15:00,1048.52,1048.73,1048.3936,1048.73,2254,0
2017-11-22,18:20:00,1049.16,1049.37,1048.71,1049.05,2325,0
2017-11-22,18:25:00,1048.6902,1049.3,1048.6902,1049.15,1300,0
2017-11-22,18:30:00,1049.1722,1049.61,1049.1722,1049.31,7113,0
2017-11-22,18:35:00,1049.16,1049.4899,1049.16,1049.36,1600,0
2017-11-22,18:40:00,1049.24,1049.53,1049.24,1049.3694,2000,0
2017-11-22,18:45:00,1049.43,1049.79,1049.32,1049.73,6404,0
2017-11-22,18:50:00,1049.8,1049.9595,1049.54,1049.71,7000,0
2017-11-22,18:55:00,1049.76,1050.15,1049.54,1049.7,3320,0
2017-11-22,19:00:00,1049.92,1050.5675,1049.92,1050.49,858,0
2017-11-22,19:05:00,1050.33,1050.8099,1050.177,1050.8099,4045,0
2017-11-22,19:10:00,1050.81,1051.67,1050.81,1050.89,9133,0
2017-11-22,19:15:00,1050.9924,1051.18,1050.77,1051.0299,1613,0
2017-11-22,19:20:00,1050.69,1050.69,1049.9,1049.95,4332,0
2017-11-22,19:25:00,1050.09,1050.41,1050.005,1050.05,1800,0
2017-11-22,19:30:00,1050.47,1050.67,1050.47,1050.67,729,0
2017-11-22,19:35:00,1050.835,1050.835,1050.68,1050.68,1700,0
2017-11-22,19:40:00,1050.68,1050.68,1050.3175,1050.36,3311,0
2017-11-22,19:45:00,1050.26,1050.5,1050.26,1050.3004,2350,0
2017-11-22,19:50:00,1050.3,1050.71,1050.29,1050.71,2693,0
2017-11-22,19:55:00,1050.76,1050.89,1050.54,1050.54,2399,0
2017-11-22,20:00:00,1050.83,1051.14,1050.69,1050.965,2300,0
2017-11-22,20:05:00,1051.11,1051.91,1050.912,1051.91,6615,0
2017-11-22,20:10:00,1051.67,1051.86,1051.55,1051.7971,2450,0
2017-11-22,20:15:00,1051.59,1052.545,1051.59,1052.4,6804,0
2017-11-22,20:20:00,1052.39,1053.42,1052.39,1053.18,5988,0
2017-11-22,20:25:00,1052.8782,1053.2576,1052.8782,1053.08,1279,0
2017-11-22,20:30:00,1053.39,1053.88,1053.39,1053.46,3290,0
2017-11-22,20:35:00,1053.7052,1055.43,1053.7052,1055.11,16065,0
2017-11-22,20:40:00,1054.86,1055.12,1054.32,1054.6101,5022,0
2017-11-22,20:45:00,1055.04,1055.19,1054.76,1054.87,3302,0
2017-11-22,20:50:00,1055.06,1055.19,1054.79,1055.16,4673,0
2017-11-22,20:55:00,1055.1799,1055.1799,1054.7,1054.99,3500,0
2017-11-22,21:00:00,1054.7895,1054.7895,1054.07,1054.08,1977,0
2017-11-22,21:05:00,1053.91,1054.09,1053.09,1053.2,3305,0
2017-11-22,21:10:00,1053.19,1053.51,1052.97,1053.19,1700,0
2017-11-22,21:15:00,1052.9506,1053.13,1052.68,1053.13,3319,0
2017-11-22,21:20:00,1053.12,1053.13,1052.52,1053.06,5705,0
2017-11-22,21:25:00,1053.03,1053.515,1052.91,1053.28,3857,0
2017-11-22,21:30:00,1053.27,1054,1052.97,1053.88,6878,0
2017-11-22,21:35:00,1053.6223,1053.6875,1052.92,1052.98,2600,0
2017-11-22,21:40:00,1052.81,1052.83,1051.47,1052.04,4930,0
2017-11-22,21:45:00,1052.14,1052.435,1051.82,1051.82,9363,0
2017-11-22,21:50:00,1052.06,1052.51,1051.51,1052.3882,6963,0
2017-11-22,21:55:00,1052.55,1053.4,1052.18,1053.11,9768,0
2017-11-22,22:00:00,1052.89,1053.17,1051.81,1051.92,84983,0
2017-11-24,15:35:00,1054.39,1054.64,1051.92,1052.68,57275,0
2017-11-24,15:40:00,1053.2492,1056.515,1052.7714,1056.515,21698,0
2017-11-24,15:45:00,1056.31,1058.37,1056.29,1057.35,29845,0
2017-11-24,15:50:00,1057.66,1058.315,1056.45,1057,14711,0
2017-11-24,15:55:00,1057.3439,1058.2599,1057.01,1057.4,14190,0
2017-11-24,16:00:00,1057.4,1057.49,1056.29,1057.065,5655,0
2017-11-24,16:05:00,1056.92,1057.11,1055.64,1055.64,7182,0
2017-11-24,16:10:00,1055.72,1056.49,1055.329,1055.38,11326,0
2017-11-24,16:15:00,1055.807,1056.07,1055.1,1055.8626,5515,0
2017-11-24,16:20:00,1055.61,1056.6,1055.5,1056.6,5843,0
2017-11-24,16:25:00,1056.38,1057.1,1056.36,1056.69,6145,0
2017-11-24,16:30:00,1056.735,1056.75,1056,1056.41,6571,0
2017-11-24,16:35:00,1056.365,1057.21,1056.365,1056.827,4836,0
2017-11-24,16:40:00,1056.955,1057.44,1056.743,1057.16,6225,0
2017-11-24,16:45:00,1057.32,1057.74,1056.92,1057.74,12074,0
2017-11-24,16:50:00,1057.74,1059.11,1057.62,1058.94,15758,0
2017-11-24,16:55:00,1058.94,1059.53,1058.55,1059.48,7335,0
2017-11-24,17:00:00,1059.4847,1059.83,1059.08,1059.36,10539,0
2017-11-24,17:05:00,1059.55,1059.72,1059.25,1059.5,4000,0
2017-11-24,17:10:00,1059.29,1060.07,1059.25,1059.675,26823,0
2017-11-24,17:15:00,1059.5425,1059.6892,1058.26,1059.4,6630,0
2017-11-24,17:20:00,1059.19,1059.72,1058.9,1058.9498,5435,0
2017-11-24,17:25:00,1059.3,1059.3355,1057.5201,1058.09,7200,0
2017-11-24,17:30:00,1058.28,1058.83,1058.28,1058.3,1800,0
2017-11-24,17:35:00,1058.54,1058.56,1057.67,1057.67,2590,0
2017-11-24,17:40:00,1057.77,1058.27,1057.6592,1058.27,4100,0
2017-11-24,17:45:00,1058.3899,1058.78,1057.93,1058.53,4700,0
2017-11-24,17:50:00,1058.53,1058.53,1057.7,1058.1698,3978,0
2017-11-24,17:55:00,1057.955,1057.955,1057.32,1057.34,5940,0
2017-11-24,18:00:00,1057.23,1057.9,1057.23,1057.63,2300,0
2017-11-24,18:05:00,1057.334,1058,1057.334,1057.99,2656,0
2017-11-24,18:10:00,1057.99,1059.8799,1057.99,1059.76,20678,0
2017-11-24,18:15:00,1059.8,1059.8372,1059.3299,1059.535,4184,0
2017-11-24,18:20:00,1059.5,1059.68,1059.05,1059.44,10985,0
2017-11-24,18:25:00,1059.53,1059.7599,1058.24,1058.408,5569,0
2017-11-24,18:30:00,1058.36,1059.2,1057.78,1058.75,7801,0
2017-11-24,18:35:00,1058.88,1058.88,1057.73,1057.99,8270,0
2017-11-24,18:40:00,1058,1058.96,1057.5101,1058.5823,9435,0
2017-11-24,18:45:00,1058.68,1058.77,1057.63,1058.07,18993,0
2017-11-24,18:50:00,1057.7001,1057.87,1057.5,1057.5907,6770,0
2017-11-24,18:55:00,1057.78,1057.9,1056.87,1056.98,17137,0
2017-11-24,19:00:00,1056.9988,1057.65,1056.67,1056.74,28505,0
2017-11-24,19:05:00,1057.09,1057.09,1056.52,1056.52,74587,0
2017-11-27,15:35:00,1058.57,1058.96,1054.7713,1055.57,41656,0
2017-11-27,15:40:00,1055.975,1060.295,1055.53,1059.71,20677,0
2017-11-27,15:45:00,1060,1061.26,1059.39,1060.52,35754,0
2017-11-27,15:50:00,1060.5,1063.72,1059.7,1063.69,37674,0
2017-11-27,15:55:00,1063.69,1065,1063.57,1064.86,30240,0
2017-11-27,16:00:00,1064.8615,1064.8615,1061.325,1062.65,30660,0
2017-11-27,16:05:00,1063.4,1066.15,1063.11,1065.705,24020,0
2017-11-27,16:10:00,1065.71,1066.66,1065.5,1066,26335,0
2017-11-27,16:15:00,1066,1066.2,1064.74,1065.365,10024,0
2017-11-27,16:20:00,1065.13,1066.23,1065.13,1066.18,7819,0
2017-11-27,16:25:00,1066.3,1067.09,1066.185,1066.53,11052,0
2017-11-27,16:30:00,1066.3662,1066.85,1065.84,1066.37,7249,0
2017-11-27,16:35:00,1066.185,1067.19,1066.16,1066.34,12768,0
2017-11-27,16:40:00,1066.33,1066.55,1065.59,1066.14,10215,0
2017-11-27,16:45:00,1066.37,1066.499,1065.04,1065.19,8226,0
2017-11-27,16:50:00,1065.2126,1065.92,1064.724,1065.59,8686,0
2017-11-27,16:55:00,1065.42,1066.87,1065.42,1065.73,6371,0
2017-11-27,17:00:00,1066.07,1067.5999,1065.42,1067.33,7717,0
2017-11-27,17:05:00,1067.3664,1068.97,1067.24,1068.9599,15167,0
2017-11-27,17:10:00,1068.72,1069.27,1067.93,1068.29,9483,0
2017-11-27,17:15:00,1068.1084,1068.178,1065.8688,1065.88,12518,0
2017-11-27,17:20:00,1065.8913,1066.4,1064.4496,1065.45,23961,0
2017-11-27,17:25:00,1065.5,1065.5,1063.02,1063.64,21764,0
2017-11-27,17:30:00,1063.08,1063.49,1060.4933,1062.336,33927,0
2017-11-27,17:35:00,1062.42,1064.89,1062.42,1064.14,13754,0
2017-11-27,17:40:00,1064.3,1064.438,1062.5,1062.81,12843,0
2017-11-27,17:45:00,1063.2,1065.29,1062.69,1065.091,6673,0
2017-11-27,17:50:00,1065.46,1066.02,1064.51,1065.52,7211,0
2017-11-27,17:55:00,1065.0601,1066.32,1064.83,1066.02,7442,0
2017-11-27,18:00:00,1065.95,1066.21,1065.06,1065.06,2970,0
2017-11-27,18:05:00,1065.15,1065.4,1063.38,1063.93,8102,0
2017-11-27,18:10:00,1063.84,1065.39,1063.84,1065.39,4682,0
2017-11-27,18:15:00,1065.045,1066.255,1065.045,1065.65,5000,0
2017-11-27,18:20:00,1065.075,1065.39,1064.44,1065,6302,0
2017-11-27,18:25:00,1065.11,1065.11,1064.16,1064.92,3600,0
2017-11-27,18:30:00,1064.62,1065.28,1064.43,1065.28,2826,0
2017-11-27,18:35:00,1065.22,1065.76,1065.22,1065.55,2712,0
2017-11-27,18:40:00,1065.7,1065.8,1064.52,1065,5402,0
2017-11-27,18:45:00,1064.92,1065.31,1064.51,1064.86,7300,0
2017-11-27,18:50:00,1064.945,1065.42,1064.5,1065,5200,0
