Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-06,21:00:00,1012.45,1013,1011.51,1012.09,184584,0
2017-06-06,22:00:00,1012.177,1012.19,1001.25,1002.97,903849,0
2017-06-07,16:00:00,1005.95,1009.34,1002,1005.375,527485,0
2017-06-07,17:00:00,1005.515,1009.229,1005.22,1006.99,340090,0
2017-06-07,18:00:00,1006.89,1007.74,1005.6,1007.15,150183,0
2017-06-07,19:00:00,1007.33,1007.49,1002.62,1005.62,172638,0
2017-06-07,20:00:00,1005.19,1008.46,1004.34,1008.22,137405,0
2017-06-07,21:00:00,1008.085,1010,1007,1008.24,178818,0
2017-06-07,22:00:00,1008.38,1010.249,1007.1211,1010.07,530169,0
2017-06-08,16:00:00,1012.06,1013.61,1006.11,1007.87,419169,0
2017-06-08,17:00:00,1007.58,1010.35,1006.5,1010.1334,310746,0
2017-06-08,18:00:00,1010.1624,1011.2,1008.3,1009.35,228591,0
2017-06-08,19:00:00,1009.57,1010.25,1008.25,1010.0793,190249,0
2017-06-08,20:00:00,1010.0288,1010.66,1009.1586,1009.675,153121,0
2017-06-08,21:00:00,1009.74,1010.2,1007.8,1007.86,136130,0
2017-06-08,22:00:00,1008.02,1010.66,1007.64,1009.94,385785,0
2017-06-09,16:00:00,1012.5,1012.99,1008.71,1010.02,252531,0
2017-06-09,17:00:00,1010.075,1011.48,1007.1,1007.3,290037,0
2017-06-09,18:00:00,1007.2,1008.345,1001.64,1001.78,433464,0
2017-06-09,19:00:00,1001.905,1001.92,992.3,995.13,845815,0
2017-06-09,20:00:00,995.44,995.84,980.5,980.6842,696909,0
2017-06-09,21:00:00,980.805,987.39,927,972,1323524,0
2017-06-09,22:00:00,972,984,970.09,978.31,1638404,0
2017-06-12,16:00:00,967,967.31,945,948.41,1983867,0
2017-06-12,17:00:00,948.08,968.2,946,965.71,1652055,0
2017-06-12,18:00:00,965.945,975.95,963.24,969.8,888308,0
2017-06-12,19:00:00,969.76,971,958.18,959.127,500228,0
2017-06-12,20:00:00,959.23,967.643,958.5,959.9255,417574,0
2017-06-12,21:00:00,959.79,968.96,959.74,964.455,540776,0
2017-06-12,22:00:00,964.2,966.21,959.28,964.83,1076030,0
2017-06-13,16:00:00,977.99,983.13,975.36,978.79,902336,0
2017-06-13,17:00:00,978.35,980.8099,968,968.53,702679,0
2017-06-13,18:00:00,968.27,976.89,966.1,976.56,403005,0
2017-06-13,19:00:00,976.572,978.53,974.21,977.21,251242,0
2017-06-13,20:00:00,977.3097,978.17,974.04,975.2,166867,0
2017-06-13,21:00:00,975.29,977.64,975.02,977.06,149982,0
2017-06-13,22:00:00,976.97,984.5,976.53,980.79,704505,0
2017-06-14,16:00:00,988.59,990.34,981.13,988.96,488520,0
2017-06-14,17:00:00,988.8504,989.66,983.5,986.465,374421,0
2017-06-14,18:00:00,986.57,986.838,983.2987,985.71,201616,0
2017-06-14,19:00:00,985.66,986.35,982.63,983.78,173765,0
2017-06-14,20:00:00,984.0603,985.7493,983.16,983.3,93640,0
2017-06-14,21:00:00,983.3,987.09,970.7316,973.5869,635122,0
2017-06-14,22:00:00,973.5,977.91,966.71,976.47,899182,0
2017-06-15,16:00:00,958.7,965,953.6,959.18,803535,0
2017-06-15,17:00:00,959.5,960.8,950.86,958.4334,933283,0
2017-06-15,18:00:00,958.64,961.9699,955.78,955.78,563161,0
2017-06-15,19:00:00,956.0273,958.88,955.02,958.28,360027,0
2017-06-15,20:00:00,958.23,961.58,958,959.22,334637,0
2017-06-15,21:00:00,959,964.42,958.6,962.49,320014,0
2017-06-15,22:00:00,962.5,965.73,961.29,964.17,607899,0
2017-06-16,16:00:00,996,998.27,982,997.35,2662190,0
2017-06-16,17:00:00,997.54,999.5,990.55,995,1329294,0
2017-06-16,18:00:00,994.84,995.89,986.2,992.76,812992,0
2017-06-16,19:00:00,993,994.9599,990,990.72,339626,0
2017-06-16,20:00:00,990.7597,994.85,990,994.68,330747,0
2017-06-16,21:00:00,994.5,999.75,994.181,996.05,674692,0
2017-06-16,22:00:00,996,996.26,985,987.71,2121387,0
2017-06-19,16:00:00,1017,1017,997,999.17,833478,0
2017-06-19,17:00:00,999.33,1003.67,999.0825,1001.27,519591,0
2017-06-19,18:00:00,1001.19,1001.19,995.09,995.52,428140,0
2017-06-19,19:00:00,995.59,997.43,990.548,994.335,416246,0
2017-06-19,20:00:00,994.565,997.14,993.33,995.2199,259033,0
2017-06-19,21:00:00,995.29,995.96,990.1,990.9221,284591,0
2017-06-19,22:00:00,991.03,996.27,989.9,995.17,835993,0
2017-06-20,16:00:00,998,998.82,992.02,995.52,448251,0
2017-06-20,17:00:00,995.62,1004.88,994.69,1003.511,1160710,0
2017-06-20,18:00:00,1003.71,1003.71,996.9,998.8129,331713,0
2017-06-20,19:00:00,998.81,1000.209,994.25,996.28,264999,0
2017-06-20,20:00:00,996.13,998.17,995.55,997.21,165688,0
2017-06-20,21:00:00,997.21,998.11,995.58,998,150095,0
2017-06-20,22:00:00,998.01,998.075,992.0801,992.59,525846,0
2017-06-21,16:00:00,998.7,998.7,992.6518,993.95,382199,0
2017-06-21,17:00:00,994.0853,998.54,993.044,995.27,332766,0
2017-06-21,18:00:00,995.15,997.16,992.8,995.92,270907,0
2017-06-21,19:00:00,994.86,997.35,993.83,994.28,108922,0
2017-06-21,20:00:00,994.89,996.24,994,996.1,113818,0
2017-06-21,21:00:00,996.035,999.725,995.4747,998.745,286289,0
2017-06-21,22:00:00,998.6247,1002.72,997.86,1002.23,571555,0
2017-06-22,16:00:00,1002.23,1003.23,997.2,1001.41,349158,0
2017-06-22,17:00:00,1001.715,1006.9599,1001.11,1004.07,438656,0
2017-06-22,18:00:00,1004.02,1004.8,1000.95,1003.15,149137,0
2017-06-22,19:00:00,1003.0244,1004.869,1000.2,1003.48,171223,0
2017-06-22,20:00:00,1003.53,1004.59,1002.77,1003.155,95231,0
2017-06-22,21:00:00,1003.125,1004.02,1002.1167,1003.1825,81973,0
2017-06-22,22:00:00,1003.1604,1003.54,1000.81,1001.3,301188,0
2017-06-23,16:00:00,1002.54,1004.23,998.02,999.8699,280227,0
2017-06-23,17:00:00,999.89,1003.47,998.88,1001.58,237184,0
2017-06-23,18:00:00,1001.525,1002.81,999.93,1001.07,150460,0
2017-06-23,19:00:00,1001.39,1003.69,1000.621,1002.98,158149,0
2017-06-23,20:00:00,1002.62,1004.46,1002.52,1003.24,154053,0
2017-06-23,21:00:00,1003.25,1003.59,1001.4,1002.43,142624,0
2017-06-23,22:00:00,1002.3,1004.62,999.3221,1003.74,955856,0
2017-06-26,16:00:00,1008.5,1009.8,1004.23,1006.2,446194,0
2017-06-26,17:00:00,1006.2483,1006.29,996.06,997.35,510289,0
2017-06-26,18:00:00,997.89,999.75,993.38,999.33,361727,0
2017-06-26,19:00:00,999.43,1000.31,996.18,999.1,162712,0
2017-06-26,20:00:00,999.02,999.18,996.04,997.06,140578,0
2017-06-26,21:00:00,996.835,997.19,995.02,995.8336,152162,0
2017-06-26,22:00:00,995.9,996.76,992,993.98,702980,0
2017-06-27,16:00:00,990.69,997.69,986.11,992.755,406144,0
2017-06-27,17:00:00,992.92,998.8,991.72,993.76,335800,0
2017-06-27,18:00:00,993.77,994.27,990.5,990.67,209355,0
2017-06-27,19:00:00,990.73,991.47,984.32,986.55,296111,0
2017-06-27,20:00:00,986.29,986.34,976.305,981.1099,472680,0
2017-06-27,21:00:00,981.1327,983.07,976.0995,982.5499,317151,0
2017-06-27,22:00:00,982.23,983.355,976,976.78,678728,0
2017-06-28,16:00:00,978.55,982.85,969.21,971.46,800419,0
2017-06-28,17:00:00,971.0741,984.75,970.71,982.52,580720,0
2017-06-28,18:00:00,982.37,984.5,979.43,980.91,253810,0
2017-06-28,19:00:00,981.29,986.74,980.23,986.4372,205116,0
2017-06-28,20:00:00,986.47,988.79,985.3894,987.671,171541,0
2017-06-28,21:00:00,988.08,988.36,984.92,986.7977,163442,0
2017-06-28,22:00:00,986.99,990.68,986.99,990.33,510872,0
2017-06-29,16:00:00,979,987.56,979,982.52,425654,0
2017-06-29,17:00:00,982.94,983.4572,977.05,977.771,381721,0
2017-06-29,18:00:00,977.68,978.14,970.01,972.66,457218,0
2017-06-29,19:00:00,972.82,976.92,970.31,970.31,296199,0
2017-06-29,20:00:00,970.56,971.77,965.25,969.16,471530,0
2017-06-29,21:00:00,968.49,974.25,966.38,973.472,349226,0
2017-06-29,22:00:00,973.48,978.95,972.44,975.93,573642,0
2017-06-30,16:00:00,980.12,983.47,975.5207,977.58,505027,0
2017-06-30,17:00:00,977.81,979.4561,973.8,978.64,344992,0
